Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Task, std::allocator<Task> >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.00     0.00       10     0.00     0.00  std::allocator_traits<std::allocator<Task> >::max_size(std::allocator<Task> const&)
  0.00      0.00     0.00       10     0.00     0.00  void std::allocator_traits<std::allocator<Task> >::construct<Task, Task>(std::allocator<Task>&, Task*, Task&&)
  0.00      0.00     0.00       10     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00       10     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00       10     0.00     0.00  Task* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Task*>, Task*>(std::move_iterator<Task*>, std::move_iterator<Task*>, Task*)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       10     0.00     0.00  void std::vector<Task, std::allocator<Task> >::emplace_back<Task>(Task&&)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Task, std::allocator<Task> >::push_back(Task&&)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       10     0.00     0.00  Task* std::uninitialized_copy<std::move_iterator<Task*>, Task*>(std::move_iterator<Task*>, std::move_iterator<Task*>, Task*)
  0.00      0.00     0.00       10     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       10     0.00     0.00  Task* std::__uninitialized_copy_a<std::move_iterator<Task*>, Task*, Task>(std::move_iterator<Task*>, std::move_iterator<Task*>, Task*, std::allocator<Task>&)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.00     0.00       10     0.00     0.00  Task* std::__uninitialized_move_if_noexcept_a<Task*, Task*, std::allocator<Task> >(Task*, Task*, Task*, std::allocator<Task>&)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       10     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       10     0.00     0.00  std::remove_reference<Task&>::type&& std::move<Task&>(Task&)
  0.00      0.00     0.00        9     0.00     0.00  std::vector<Task, std::allocator<Task> >::operator[](unsigned int)
  0.00      0.00     0.00        9     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > >::__normal_iterator(ClubMember* const&)
  0.00      0.00     0.00        8     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        8     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::max_size() const
  0.00      0.00     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<ClubMember> >::max_size(std::allocator<ClubMember> const&)
  0.00      0.00     0.00        8     0.00     0.00  ClubMember* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<ClubMember*>, ClubMember*>(std::move_iterator<ClubMember*>, std::move_iterator<ClubMember*>, ClubMember*)
  0.00      0.00     0.00        8     0.00     0.00  ClubMember* std::uninitialized_copy<std::move_iterator<ClubMember*>, ClubMember*>(std::move_iterator<ClubMember*>, std::move_iterator<ClubMember*>, ClubMember*)
  0.00      0.00     0.00        8     0.00     0.00  ClubMember* std::__uninitialized_copy_a<std::move_iterator<ClubMember*>, ClubMember*, ClubMember>(std::move_iterator<ClubMember*>, std::move_iterator<ClubMember*>, ClubMember*, std::allocator<ClubMember>&)
  0.00      0.00     0.00        8     0.00     0.00  ClubMember* std::__uninitialized_move_if_noexcept_a<ClubMember*, ClubMember*, std::allocator<ClubMember> >(ClubMember*, ClubMember*, ClubMember*, std::allocator<ClubMember>&)
  0.00      0.00     0.00        7     0.00     0.00  std::move_iterator<ClubMember*>::operator*() const
  0.00      0.00     0.00        7     0.00     0.00  std::move_iterator<ClubMember*>::operator++()
  0.00      0.00     0.00        7     0.00     0.00  void std::_Construct<ClubMember, ClubMember>(ClubMember*, ClubMember&&)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Task*>(Task*, Task*)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_M_deallocate(Task*, unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<Task*>(Task*, Task*)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<Task*, Task>(Task*, Task*, std::allocator<Task>&)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00        5     0.00     0.00  ClubMember::ClubMember(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<ClubMember>::construct<ClubMember, ClubMember>(ClubMember*, ClubMember&&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<Task>::deallocate(Task*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<Task>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<Task*, std::vector<Task, std::allocator<Task> > >::difference_type __gnu_cxx::operator-<Task*, std::vector<Task, std::allocator<Task> > >(__gnu_cxx::__normal_iterator<Task*, std::vector<Task, std::allocator<Task> > > const&, __gnu_cxx::__normal_iterator<Task*, std::vector<Task, std::allocator<Task> > > const&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Task, std::allocator<Task> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        5     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy_aux<false>::__destroy<ClubMember*>(ClubMember*, ClubMember*)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_M_deallocate(ClubMember*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  void std::allocator_traits<std::allocator<ClubMember> >::construct<ClubMember, ClubMember>(std::allocator<ClubMember>&, ClubMember*, ClubMember&&)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<Task> >::deallocate(std::allocator<Task>&, Task*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<Task> >::allocate(std::allocator<Task>&, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  void std::vector<ClubMember, std::allocator<ClubMember> >::emplace_back<ClubMember>(ClubMember&&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::push_back(ClubMember&&)
  0.00      0.00     0.00        5     0.00     0.00  void std::vector<Task, std::allocator<Task> >::_M_realloc_insert<Task>(__gnu_cxx::__normal_iterator<Task*, std::vector<Task, std::allocator<Task> > >, Task&&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Task, std::allocator<Task> >::end()
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Task, std::allocator<Task> >::begin()
  0.00      0.00     0.00        5     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00        5     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00        5     0.00     0.00  std::remove_reference<ClubMember&>::type&& std::move<ClubMember&>(ClubMember&)
  0.00      0.00     0.00        5     0.00     0.00  std::setw(int)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy<ClubMember*>(ClubMember*, ClubMember*)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy<ClubMember*, ClubMember>(ClubMember*, ClubMember*, std::allocator<ClubMember>&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<ClubMember>::deallocate(ClubMember*, unsigned int)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<ClubMember>::allocate(unsigned int, void const*)
